output,species,iteration,value
y_hat_test,Sulfate,0,164.57747969487468
y_hat_test,Sulfate,0,227.64325499978986
y_hat_test,Sulfate,0,221.10525854326195
y_hat_test,Sulfate,0,238.6284928265947
y_hat_test,Sulfate,0,191.8627030964128
y_hat_test,Sulfate,0,194.784047709521
y_hat_test,Sulfate,0,186.64651126207966
y_hat_test,Sulfate,0,230.64879183364906
y_hat_test,Sulfate,0,202.35318113186048
y_hat_test,Sulfate,0,175.76572213220552
y_hat_test,Sulfate,0,198.30724887347728
y_hat_test,Sulfate,0,199.4878785179933
y_hat_test,Sulfate,0,209.50283122135136
y_hat_test,Sulfate,0,149.51049565754073
y_hat_test,Sulfate,0,185.3468324414428
y_hat_train,Sulfate,0,171.0631797325757
y_hat_train,Sulfate,0,162.40741917321606
y_hat_train,Sulfate,0,104.6036487053275
y_hat_train,Sulfate,0,201.30963393851857
y_hat_train,Sulfate,0,170.40315027345284
y_hat_train,Sulfate,0,191.03999544594498
y_hat_train,Sulfate,0,196.0173786881497
y_hat_train,Sulfate,0,115.57045396402842
y_hat_train,Sulfate,0,222.49554874768017
y_hat_train,Sulfate,0,177.09385446190748
y_hat_train,Sulfate,0,154.21741063539756
y_hat_train,Sulfate,0,190.28843111058416
y_hat_train,Sulfate,0,140.03061586259068
y_hat_train,Sulfate,0,213.26511926989244
y_hat_train,Sulfate,0,168.10313977423039
y_hat_train,Sulfate,0,211.08577511907401
y_hat_train,Sulfate,0,207.43435681062715
y_hat_train,Sulfate,0,171.2496528920397
y_hat_train,Sulfate,0,148.290396043066
y_hat_train,Sulfate,0,180.46010187713836
y_hat_train,Sulfate,0,147.23759032978012
y_hat_train,Sulfate,0,160.42312131270953
y_hat_train,Sulfate,0,181.01081055405723
y_hat_train,Sulfate,0,173.20913409066796
y_hat_train,Sulfate,0,185.92105016591097
y_hat_train,Sulfate,0,204.2321322229614
y_hat_train,Sulfate,0,158.13262663009277
y_hat_train,Sulfate,0,156.45654488517258
y_hat_train,Sulfate,0,129.22982707538384
y_hat_train,Sulfate,0,236.81169023779051
y_hat_train,Sulfate,0,132.77879382798324
y_hat_train,Sulfate,0,246.53369029395947
y_hat_train,Sulfate,0,180.1692332391083
y_hat_train,Sulfate,0,250.89648037647498
y_hat_train,Sulfate,0,173.3080122325043
y_true_train,Sulfate,0,181.44
y_true_train,Sulfate,0,164.53
y_true_train,Sulfate,0,102.37
y_true_train,Sulfate,0,202.44
y_true_train,Sulfate,0,171.43
y_true_train,Sulfate,0,193.75
y_true_train,Sulfate,0,191.44
y_true_train,Sulfate,0,127.9
y_true_train,Sulfate,0,225.27
y_true_train,Sulfate,0,160.47
y_true_train,Sulfate,0,150.4
y_true_train,Sulfate,0,186.47
y_true_train,Sulfate,0,139.88
y_true_train,Sulfate,0,213.46
y_true_train,Sulfate,0,169.48
y_true_train,Sulfate,0,209.96
y_true_train,Sulfate,0,206.6
y_true_train,Sulfate,0,180.48
y_true_train,Sulfate,0,149.14
y_true_train,Sulfate,0,172.41
y_true_train,Sulfate,0,134.94
y_true_train,Sulfate,0,158.25
y_true_train,Sulfate,0,181.74
y_true_train,Sulfate,0,169.3
y_true_train,Sulfate,0,184.43
y_true_train,Sulfate,0,207.74
y_true_train,Sulfate,0,157.5
y_true_train,Sulfate,0,165.41
y_true_train,Sulfate,0,127.21
y_true_train,Sulfate,0,237.64
y_true_train,Sulfate,0,139.31
y_true_train,Sulfate,0,247.13
y_true_train,Sulfate,0,174.1
y_true_train,Sulfate,0,257.75
y_true_train,Sulfate,0,171.01
y_true_test,Sulfate,0,158.04
y_true_test,Sulfate,0,225.9
y_true_test,Sulfate,0,238.21
y_true_test,Sulfate,0,219.07
y_true_test,Sulfate,0,169.24
y_true_test,Sulfate,0,180.99
y_true_test,Sulfate,0,181.5
y_true_test,Sulfate,0,231.92
y_true_test,Sulfate,0,201.03
y_true_test,Sulfate,0,164.78
y_true_test,Sulfate,0,198.96
y_true_test,Sulfate,0,177.03
y_true_test,Sulfate,0,183.77
y_true_test,Sulfate,0,155.31
y_true_test,Sulfate,0,179.97
test_ind,Sulfate,0,59.0
test_ind,Sulfate,0,60.0
test_ind,Sulfate,0,26.0
test_ind,Sulfate,0,61.0
test_ind,Sulfate,0,62.0
test_ind,Sulfate,0,18.0
test_ind,Sulfate,0,25.0
test_ind,Sulfate,0,30.0
test_ind,Sulfate,0,42.0
test_ind,Sulfate,0,32.0
test_ind,Sulfate,0,16.0
test_ind,Sulfate,0,55.0
test_ind,Sulfate,0,57.0
test_ind,Sulfate,0,20.0
test_ind,Sulfate,0,28.0
train_ind,Sulfate,0,46.0
train_ind,Sulfate,0,27.0
train_ind,Sulfate,0,1.0
train_ind,Sulfate,0,24.0
train_ind,Sulfate,0,31.0
train_ind,Sulfate,0,33.0
train_ind,Sulfate,0,15.0
train_ind,Sulfate,0,5.0
train_ind,Sulfate,0,35.0
train_ind,Sulfate,0,52.0
train_ind,Sulfate,0,14.0
train_ind,Sulfate,0,56.0
train_ind,Sulfate,0,11.0
train_ind,Sulfate,0,10.0
train_ind,Sulfate,0,41.0
train_ind,Sulfate,0,34.0
train_ind,Sulfate,0,45.0
train_ind,Sulfate,0,17.0
train_ind,Sulfate,0,6.0
train_ind,Sulfate,0,49.0
train_ind,Sulfate,0,4.0
train_ind,Sulfate,0,13.0
train_ind,Sulfate,0,40.0
train_ind,Sulfate,0,29.0
train_ind,Sulfate,0,54.0
train_ind,Sulfate,0,8.0
train_ind,Sulfate,0,22.0
train_ind,Sulfate,0,7.0
train_ind,Sulfate,0,2.0
train_ind,Sulfate,0,37.0
train_ind,Sulfate,0,12.0
train_ind,Sulfate,0,51.0
train_ind,Sulfate,0,43.0
train_ind,Sulfate,0,48.0
train_ind,Sulfate,0,38.0
test_rsq,Sulfate,0,0.7239454783486561
train_rsq,Sulfate,0,0.9714482699230457
test_rmse,Sulfate,0,13.669898482195276
train_rmse,Sulfate,0,5.785183199591679
test_mape,Sulfate,0,5.763516098855978
train_mape,Sulfate,0,2.51779967052591
n_comp,Sulfate,0,8.0
y_hat_test,Sulfate,1,218.87283182137972
y_hat_test,Sulfate,1,242.44447898742993
y_hat_test,Sulfate,1,179.59004593278735
y_hat_test,Sulfate,1,175.3535725535425
