output,species,iteration,value
y_hat_test,Nitrate-N,0,254.54521462556488
y_hat_test,Nitrate-N,0,192.1209378931477
y_hat_test,Nitrate-N,0,217.1354124989639
y_hat_test,Nitrate-N,0,195.68910755024075
y_hat_test,Nitrate-N,0,181.57748873368163
y_hat_test,Nitrate-N,0,171.02432077612136
y_hat_test,Nitrate-N,0,185.11719479980758
y_hat_test,Nitrate-N,0,208.5779743603652
y_hat_test,Nitrate-N,0,183.5885707926921
y_hat_test,Nitrate-N,0,211.9392931379382
y_hat_test,Nitrate-N,0,185.99139794299822
y_hat_test,Nitrate-N,0,184.65606244629856
y_hat_test,Nitrate-N,0,189.68525725042204
y_hat_test,Nitrate-N,0,216.91244224238957
y_hat_test,Nitrate-N,0,217.21234570033602
y_hat_test,Nitrate-N,0,212.3800221314486
y_hat_test,Nitrate-N,0,185.3620818520914
y_hat_test,Nitrate-N,0,158.90552904261259
y_hat_train,Nitrate-N,0,187.22792989851587
y_hat_train,Nitrate-N,0,181.33842868968406
y_hat_train,Nitrate-N,0,180.28939452787472
y_hat_train,Nitrate-N,0,206.3075473243424
y_hat_train,Nitrate-N,0,178.93908539370298
y_hat_train,Nitrate-N,0,163.55170985132276
y_hat_train,Nitrate-N,0,176.65362863929533
y_hat_train,Nitrate-N,0,201.03082235236172
y_hat_train,Nitrate-N,0,186.74686478232096
y_hat_train,Nitrate-N,0,173.92948939067435
y_hat_train,Nitrate-N,0,177.377442574844
y_hat_train,Nitrate-N,0,189.32821667923383
y_hat_train,Nitrate-N,0,225.1181980887942
y_hat_train,Nitrate-N,0,171.3591391626004
y_hat_train,Nitrate-N,0,202.961761454111
y_hat_train,Nitrate-N,0,199.35695254314723
y_hat_train,Nitrate-N,0,196.3354947835026
y_hat_train,Nitrate-N,0,215.68464381095043
y_hat_train,Nitrate-N,0,176.8289668931023
y_hat_train,Nitrate-N,0,221.78685897131788
y_hat_train,Nitrate-N,0,217.92453740647704
y_hat_train,Nitrate-N,0,183.340865899707
y_hat_train,Nitrate-N,0,204.20515740191317
y_hat_train,Nitrate-N,0,169.90756583926273
y_hat_train,Nitrate-N,0,180.21165321887645
y_hat_train,Nitrate-N,0,168.8821759844067
y_hat_train,Nitrate-N,0,190.2850748924252
y_hat_train,Nitrate-N,0,172.31337568552374
y_hat_train,Nitrate-N,0,219.2305601169359
y_hat_train,Nitrate-N,0,184.3265593499756
y_hat_train,Nitrate-N,0,182.92680485679082
y_hat_train,Nitrate-N,0,180.80417623339483
y_hat_train,Nitrate-N,0,175.310737449872
y_hat_train,Nitrate-N,0,203.75093737404893
y_hat_train,Nitrate-N,0,208.06900840361442
y_hat_train,Nitrate-N,0,191.87080793898883
y_hat_train,Nitrate-N,0,161.83834802391198
y_hat_train,Nitrate-N,0,174.36490695759812
y_hat_train,Nitrate-N,0,207.3801897061302
y_hat_train,Nitrate-N,0,208.46398144844687
y_true_train,Nitrate-N,0,152.3
y_true_train,Nitrate-N,0,183.43
y_true_train,Nitrate-N,0,189.35
y_true_train,Nitrate-N,0,192.3
y_true_train,Nitrate-N,0,163.35
y_true_train,Nitrate-N,0,174.28
y_true_train,Nitrate-N,0,189.35
y_true_train,Nitrate-N,0,189.73
y_true_train,Nitrate-N,0,159.48
y_true_train,Nitrate-N,0,212.5
y_true_train,Nitrate-N,0,186.4
y_true_train,Nitrate-N,0,173.08
y_true_train,Nitrate-N,0,185.8
y_true_train,Nitrate-N,0,188.58
y_true_train,Nitrate-N,0,183.05
y_true_train,Nitrate-N,0,175.0
y_true_train,Nitrate-N,0,204.03
y_true_train,Nitrate-N,0,246.45
y_true_train,Nitrate-N,0,166.68
y_true_train,Nitrate-N,0,227.5
y_true_train,Nitrate-N,0,232.5
y_true_train,Nitrate-N,0,233.0
y_true_train,Nitrate-N,0,179.53
y_true_train,Nitrate-N,0,161.15
y_true_train,Nitrate-N,0,204.43
y_true_train,Nitrate-N,0,185.0
y_true_train,Nitrate-N,0,186.18
y_true_train,Nitrate-N,0,147.55
y_true_train,Nitrate-N,0,284.78
y_true_train,Nitrate-N,0,175.53
y_true_train,Nitrate-N,0,215.0
y_true_train,Nitrate-N,0,164.28
y_true_train,Nitrate-N,0,163.23
y_true_train,Nitrate-N,0,200.88
y_true_train,Nitrate-N,0,195.28
y_true_train,Nitrate-N,0,169.4
y_true_train,Nitrate-N,0,149.25
y_true_train,Nitrate-N,0,170.45
y_true_train,Nitrate-N,0,227.5
y_true_train,Nitrate-N,0,210.0
y_true_test,Nitrate-N,0,175.43
y_true_test,Nitrate-N,0,175.43
y_true_test,Nitrate-N,0,227.5
y_true_test,Nitrate-N,0,232.6
y_true_test,Nitrate-N,0,186.48
y_true_test,Nitrate-N,0,156.73
y_true_test,Nitrate-N,0,179.55
y_true_test,Nitrate-N,0,197.5
y_true_test,Nitrate-N,0,220.0
y_true_test,Nitrate-N,0,181.7
y_true_test,Nitrate-N,0,221.43
y_true_test,Nitrate-N,0,198.9
y_true_test,Nitrate-N,0,184.9
y_true_test,Nitrate-N,0,190.75
y_true_test,Nitrate-N,0,175.43
y_true_test,Nitrate-N,0,219.65
y_true_test,Nitrate-N,0,174.2
y_true_test,Nitrate-N,0,177.95
test_ind,Nitrate-N,0,35.0
test_ind,Nitrate-N,0,34.0
test_ind,Nitrate-N,0,42.0
test_ind,Nitrate-N,0,27.0
test_ind,Nitrate-N,0,11.0
test_ind,Nitrate-N,0,2.0
test_ind,Nitrate-N,0,33.0
test_ind,Nitrate-N,0,45.0
test_ind,Nitrate-N,0,22.0
test_ind,Nitrate-N,0,48.0
test_ind,Nitrate-N,0,4.0
test_ind,Nitrate-N,0,10.0
test_ind,Nitrate-N,0,29.0
test_ind,Nitrate-N,0,40.0
test_ind,Nitrate-N,0,32.0
test_ind,Nitrate-N,0,41.0
test_ind,Nitrate-N,0,37.0
test_ind,Nitrate-N,0,7.0
train_ind,Nitrate-N,0,14.0
train_ind,Nitrate-N,0,31.0
train_ind,Nitrate-N,0,28.0
