output,species,iteration,value
y_hat_test,Nitrate-N,0,168.53819274902344
y_hat_test,Nitrate-N,0,178.62603759765625
y_hat_test,Nitrate-N,0,168.64178466796875
y_hat_test,Nitrate-N,0,170.23037719726562
y_hat_test,Nitrate-N,0,207.20428466796875
y_hat_test,Nitrate-N,0,153.3662567138672
y_hat_test,Nitrate-N,0,163.43521118164062
y_hat_test,Nitrate-N,0,167.4906768798828
y_hat_test,Nitrate-N,0,175.72317504882812
y_hat_test,Nitrate-N,0,187.49539184570312
y_hat_test,Nitrate-N,0,214.2771453857422
y_hat_test,Nitrate-N,0,191.8068084716797
y_hat_test,Nitrate-N,0,177.6496124267578
y_hat_test,Nitrate-N,0,173.36459350585938
y_hat_test,Nitrate-N,0,174.62109375
y_hat_train,Nitrate-N,0,276.31182861328125
y_hat_train,Nitrate-N,0,186.47779846191406
y_hat_train,Nitrate-N,0,182.43338012695312
y_hat_train,Nitrate-N,0,166.13311767578125
y_hat_train,Nitrate-N,0,151.85675048828125
y_hat_train,Nitrate-N,0,174.9138641357422
y_hat_train,Nitrate-N,0,226.52487182617188
y_hat_train,Nitrate-N,0,174.89588928222656
y_hat_train,Nitrate-N,0,178.30563354492188
y_hat_train,Nitrate-N,0,231.0723114013672
y_hat_train,Nitrate-N,0,217.99661254882812
y_hat_train,Nitrate-N,0,158.59291076660156
y_hat_train,Nitrate-N,0,186.58468627929688
y_hat_train,Nitrate-N,0,230.9202880859375
y_hat_train,Nitrate-N,0,172.66232299804688
y_hat_train,Nitrate-N,0,178.84991455078125
y_hat_train,Nitrate-N,0,218.8217010498047
y_hat_train,Nitrate-N,0,185.75762939453125
y_hat_train,Nitrate-N,0,174.0547637939453
y_hat_train,Nitrate-N,0,171.66712951660156
y_hat_train,Nitrate-N,0,163.98117065429688
y_hat_train,Nitrate-N,0,226.46412658691406
y_hat_train,Nitrate-N,0,172.4335174560547
y_hat_train,Nitrate-N,0,209.80886840820312
y_hat_train,Nitrate-N,0,181.55516052246094
y_hat_train,Nitrate-N,0,214.60552978515625
y_hat_train,Nitrate-N,0,165.1326446533203
y_hat_train,Nitrate-N,0,183.7666778564453
y_true_train,Nitrate-N,0,284.78
y_true_train,Nitrate-N,0,186.18
y_true_train,Nitrate-N,0,183.43
y_true_train,Nitrate-N,0,166.68
y_true_train,Nitrate-N,0,147.55
y_true_train,Nitrate-N,0,175.53
y_true_train,Nitrate-N,0,227.5
y_true_train,Nitrate-N,0,174.2
y_true_train,Nitrate-N,0,179.53
y_true_train,Nitrate-N,0,233.0
y_true_train,Nitrate-N,0,219.65
y_true_train,Nitrate-N,0,161.15
y_true_train,Nitrate-N,0,189.73
y_true_train,Nitrate-N,0,232.6
y_true_train,Nitrate-N,0,174.28
y_true_train,Nitrate-N,0,179.55
y_true_train,Nitrate-N,0,220.0
y_true_train,Nitrate-N,0,185.8
y_true_train,Nitrate-N,0,175.43
y_true_train,Nitrate-N,0,173.08
y_true_train,Nitrate-N,0,163.23
y_true_train,Nitrate-N,0,227.5
y_true_train,Nitrate-N,0,175.43
y_true_train,Nitrate-N,0,210.0
y_true_train,Nitrate-N,0,183.05
y_true_train,Nitrate-N,0,215.0
y_true_train,Nitrate-N,0,164.28
y_true_train,Nitrate-N,0,185.0
y_true_test,Nitrate-N,0,186.4
y_true_test,Nitrate-N,0,198.9
y_true_test,Nitrate-N,0,221.43
y_true_test,Nitrate-N,0,204.43
y_true_test,Nitrate-N,0,227.5
y_true_test,Nitrate-N,0,212.5
y_true_test,Nitrate-N,0,232.5
y_true_test,Nitrate-N,0,188.58
y_true_test,Nitrate-N,0,163.35
y_true_test,Nitrate-N,0,186.48
y_true_test,Nitrate-N,0,175.0
y_true_test,Nitrate-N,0,246.45
y_true_test,Nitrate-N,0,159.48
y_true_test,Nitrate-N,0,204.03
y_true_test,Nitrate-N,0,152.3
test_ind,Nitrate-N,0,30.0
test_ind,Nitrate-N,0,10.0
test_ind,Nitrate-N,0,4.0
test_ind,Nitrate-N,0,12.0
test_ind,Nitrate-N,0,41.0
test_ind,Nitrate-N,0,5.0
test_ind,Nitrate-N,0,45.0
test_ind,Nitrate-N,0,20.0
test_ind,Nitrate-N,0,51.0
test_ind,Nitrate-N,0,11.0
test_ind,Nitrate-N,0,8.0
test_ind,Nitrate-N,0,25.0
