output,species,iteration,value
y_hat_test,Ammonium-N,0,4.3765764236450195
y_hat_test,Ammonium-N,0,1.577383279800415
y_hat_test,Ammonium-N,0,1.367953896522522
y_hat_test,Ammonium-N,0,3.315490245819092
y_hat_test,Ammonium-N,0,2.1336333751678467
y_hat_test,Ammonium-N,0,0.46426451206207275
y_hat_test,Ammonium-N,0,5.790493965148926
y_hat_test,Ammonium-N,0,0.9334052205085754
y_hat_test,Ammonium-N,0,1.616308569908142
y_hat_test,Ammonium-N,0,4.627315521240234
y_hat_test,Ammonium-N,0,-0.08587141335010529
y_hat_test,Ammonium-N,0,2.4583868980407715
y_hat_test,Ammonium-N,0,0.2328047752380371
y_hat_test,Ammonium-N,0,5.387219429016113
y_hat_test,Ammonium-N,0,0.3932257294654846
y_hat_train,Ammonium-N,0,0.2110515981912613
y_hat_train,Ammonium-N,0,7.078859806060791
y_hat_train,Ammonium-N,0,5.846869468688965
y_hat_train,Ammonium-N,0,0.17647163569927216
y_hat_train,Ammonium-N,0,0.03902846574783325
y_hat_train,Ammonium-N,0,8.17146110534668
y_hat_train,Ammonium-N,0,0.26390403509140015
y_hat_train,Ammonium-N,0,1.139201283454895
y_hat_train,Ammonium-N,0,0.19070890545845032
y_hat_train,Ammonium-N,0,0.09610863029956818
y_hat_train,Ammonium-N,0,-0.09940330684185028
y_hat_train,Ammonium-N,0,6.440074920654297
y_hat_train,Ammonium-N,0,1.336135983467102
y_hat_train,Ammonium-N,0,8.370020866394043
y_hat_train,Ammonium-N,0,6.156691074371338
y_hat_train,Ammonium-N,0,4.7975311279296875
y_hat_train,Ammonium-N,0,0.3782517910003662
y_hat_train,Ammonium-N,0,5.481101036071777
y_hat_train,Ammonium-N,0,7.883065223693848
y_hat_train,Ammonium-N,0,0.10018743574619293
y_hat_train,Ammonium-N,0,5.948591232299805
y_hat_train,Ammonium-N,0,0.07576997578144073
y_hat_train,Ammonium-N,0,-0.09517012536525726
y_hat_train,Ammonium-N,0,6.59399938583374
y_hat_train,Ammonium-N,0,1.1754711866378784
y_hat_train,Ammonium-N,0,0.11304273456335068
y_hat_train,Ammonium-N,0,0.14712616801261902
y_hat_train,Ammonium-N,0,0.06276263296604156
y_true_train,Ammonium-N,0,0.07
y_true_train,Ammonium-N,0,7.24
y_true_train,Ammonium-N,0,5.86
y_true_train,Ammonium-N,0,0.15
y_true_train,Ammonium-N,0,0.01
y_true_train,Ammonium-N,0,8.22
y_true_train,Ammonium-N,0,0.3
y_true_train,Ammonium-N,0,1.14
y_true_train,Ammonium-N,0,0.1
y_true_train,Ammonium-N,0,0.02
y_true_train,Ammonium-N,0,0.01
y_true_train,Ammonium-N,0,6.51
y_true_train,Ammonium-N,0,1.43
y_true_train,Ammonium-N,0,8.48
y_true_train,Ammonium-N,0,6.23
y_true_train,Ammonium-N,0,4.9
y_true_train,Ammonium-N,0,0.4
y_true_train,Ammonium-N,0,5.6
y_true_train,Ammonium-N,0,7.88
y_true_train,Ammonium-N,0,0.05
y_true_train,Ammonium-N,0,5.98
y_true_train,Ammonium-N,0,0.04
y_true_train,Ammonium-N,0,0.01
y_true_train,Ammonium-N,0,6.6
y_true_train,Ammonium-N,0,1.2
y_true_train,Ammonium-N,0,0.04
y_true_train,Ammonium-N,0,0.05
y_true_train,Ammonium-N,0,0.01
y_true_test,Ammonium-N,0,0.09
y_true_test,Ammonium-N,0,4.03
y_true_test,Ammonium-N,0,0.01
y_true_test,Ammonium-N,0,0.02
y_true_test,Ammonium-N,0,0.03
y_true_test,Ammonium-N,0,6.92
y_true_test,Ammonium-N,0,0.1
y_true_test,Ammonium-N,0,0.02
y_true_test,Ammonium-N,0,0.01
y_true_test,Ammonium-N,0,0.01
y_true_test,Ammonium-N,0,0.01
y_true_test,Ammonium-N,0,0.08
y_true_test,Ammonium-N,0,0.06
y_true_test,Ammonium-N,0,0.07
y_true_test,Ammonium-N,0,7.81
test_ind,Ammonium-N,0,30.0
test_ind,Ammonium-N,0,10.0
test_ind,Ammonium-N,0,4.0
test_ind,Ammonium-N,0,12.0
test_ind,Ammonium-N,0,41.0
test_ind,Ammonium-N,0,5.0
test_ind,Ammonium-N,0,45.0
test_ind,Ammonium-N,0,20.0
test_ind,Ammonium-N,0,51.0
test_ind,Ammonium-N,0,11.0
test_ind,Ammonium-N,0,8.0
test_ind,Ammonium-N,0,25.0
test_ind,Ammonium-N,0,15.0
test_ind,Ammonium-N,0,13.0
test_ind,Ammonium-N,0,14.0
train_ind,Ammonium-N,0,23.0
train_ind,Ammonium-N,0,24.0
train_ind,Ammonium-N,0,31.0
train_ind,Ammonium-N,0,17.0
train_ind,Ammonium-N,0,6.0
train_ind,Ammonium-N,0,35.0
train_ind,Ammonium-N,0,46.0
train_ind,Ammonium-N,0,36.0
train_ind,Ammonium-N,0,37.0
train_ind,Ammonium-N,0,50.0
