output,species,iteration,value
y_hat_test,Nitrate-N,0,172.26859078956235
y_hat_test,Nitrate-N,0,182.96538433220115
y_hat_test,Nitrate-N,0,189.37435388888272
y_hat_test,Nitrate-N,0,191.2873917080999
y_hat_test,Nitrate-N,0,166.35090771970349
y_hat_test,Nitrate-N,0,190.7951318960428
y_hat_test,Nitrate-N,0,184.5804366775298
y_hat_test,Nitrate-N,0,191.20879227920238
y_hat_test,Nitrate-N,0,197.92107933182893
y_hat_test,Nitrate-N,0,179.4093992259004
y_hat_test,Nitrate-N,0,187.66649150134006
y_hat_test,Nitrate-N,0,190.37038661453366
y_hat_test,Nitrate-N,0,178.26437777077024
y_hat_test,Nitrate-N,0,175.71050492273716
y_hat_test,Nitrate-N,0,178.0087456118187
y_hat_train,Nitrate-N,0,189.74117406399353
y_hat_train,Nitrate-N,0,175.0596575444809
y_hat_train,Nitrate-N,0,167.95666042351883
y_hat_train,Nitrate-N,0,191.3305075951589
y_hat_train,Nitrate-N,0,179.51216061334392
y_hat_train,Nitrate-N,0,180.3289705689133
y_hat_train,Nitrate-N,0,193.3583331262354
y_hat_train,Nitrate-N,0,172.74945229345036
y_hat_train,Nitrate-N,0,191.1064671197958
y_hat_train,Nitrate-N,0,190.87903514952535
y_hat_train,Nitrate-N,0,174.8721456680142
y_hat_train,Nitrate-N,0,169.5569324825199
y_hat_train,Nitrate-N,0,169.4304737251947
y_hat_train,Nitrate-N,0,190.95252919926415
y_hat_train,Nitrate-N,0,170.91520932891962
y_hat_train,Nitrate-N,0,190.2155658223364
y_hat_train,Nitrate-N,0,196.52989007066552
y_hat_train,Nitrate-N,0,176.46817049495354
y_hat_train,Nitrate-N,0,172.12875923859784
y_hat_train,Nitrate-N,0,212.00163350941253
y_hat_train,Nitrate-N,0,178.13065726460349
y_hat_train,Nitrate-N,0,171.6930906993128
y_hat_train,Nitrate-N,0,188.47396169031487
y_hat_train,Nitrate-N,0,180.22233523607682
y_hat_train,Nitrate-N,0,181.52208504169383
y_hat_train,Nitrate-N,0,191.51240682786153
y_hat_train,Nitrate-N,0,179.7192695142502
y_hat_train,Nitrate-N,0,172.46379880525072
y_hat_train,Nitrate-N,0,167.0137392881563
y_hat_train,Nitrate-N,0,195.66681811047565
y_hat_train,Nitrate-N,0,176.85125136204104
y_hat_train,Nitrate-N,0,198.05708853421154
y_hat_train,Nitrate-N,0,192.75162841723593
y_hat_train,Nitrate-N,0,233.34451841684844
y_hat_train,Nitrate-N,0,172.67362275337248
y_true_train,Nitrate-N,0,190.75
y_true_train,Nitrate-N,0,220.0
y_true_train,Nitrate-N,0,169.4
y_true_train,Nitrate-N,0,164.28
y_true_train,Nitrate-N,0,186.18
y_true_train,Nitrate-N,0,174.55
y_true_train,Nitrate-N,0,198.9
y_true_train,Nitrate-N,0,149.25
y_true_train,Nitrate-N,0,184.9
y_true_train,Nitrate-N,0,227.5
y_true_train,Nitrate-N,0,175.0
y_true_train,Nitrate-N,0,163.35
y_true_train,Nitrate-N,0,134.3
y_true_train,Nitrate-N,0,188.83
y_true_train,Nitrate-N,0,175.53
y_true_train,Nitrate-N,0,189.35
y_true_train,Nitrate-N,0,200.88
y_true_train,Nitrate-N,0,186.48
y_true_train,Nitrate-N,0,161.15
y_true_train,Nitrate-N,0,210.0
y_true_train,Nitrate-N,0,156.73
y_true_train,Nitrate-N,0,163.23
y_true_train,Nitrate-N,0,179.55
y_true_train,Nitrate-N,0,189.73
y_true_train,Nitrate-N,0,185.8
y_true_train,Nitrate-N,0,198.28
y_true_train,Nitrate-N,0,166.68
y_true_train,Nitrate-N,0,158.13
y_true_train,Nitrate-N,0,212.5
y_true_train,Nitrate-N,0,186.4
y_true_train,Nitrate-N,0,177.95
y_true_train,Nitrate-N,0,232.5
y_true_train,Nitrate-N,0,174.2
y_true_train,Nitrate-N,0,227.5
y_true_train,Nitrate-N,0,175.43
y_true_test,Nitrate-N,0,189.35
y_true_test,Nitrate-N,0,195.28
y_true_test,Nitrate-N,0,215.0
y_true_test,Nitrate-N,0,192.3
y_true_test,Nitrate-N,0,185.0
y_true_test,Nitrate-N,0,159.48
y_true_test,Nitrate-N,0,188.58
y_true_test,Nitrate-N,0,246.45
y_true_test,Nitrate-N,0,179.53
y_true_test,Nitrate-N,0,232.6
y_true_test,Nitrate-N,0,204.43
y_true_test,Nitrate-N,0,183.05
y_true_test,Nitrate-N,0,170.45
y_true_test,Nitrate-N,0,152.3
y_true_test,Nitrate-N,0,284.78
test_ind,Nitrate-N,0,59.0
test_ind,Nitrate-N,0,60.0
test_ind,Nitrate-N,0,26.0
