output,species,iteration,value
y_hat_test,Nitrate-N,0,195.68931579589844
y_hat_test,Nitrate-N,0,186.2033233642578
y_hat_test,Nitrate-N,0,207.57452392578125
y_hat_test,Nitrate-N,0,200.8961944580078
y_hat_test,Nitrate-N,0,166.50975036621094
y_hat_test,Nitrate-N,0,196.37246704101562
y_hat_test,Nitrate-N,0,182.8719940185547
y_hat_test,Nitrate-N,0,209.6700897216797
y_hat_test,Nitrate-N,0,183.6464385986328
y_hat_test,Nitrate-N,0,206.3133087158203
y_hat_test,Nitrate-N,0,185.24697875976562
y_hat_test,Nitrate-N,0,215.00799560546875
y_hat_test,Nitrate-N,0,195.72161865234375
y_hat_test,Nitrate-N,0,181.36891174316406
y_hat_test,Nitrate-N,0,208.4522247314453
y_hat_train,Nitrate-N,0,189.15133666992188
y_hat_train,Nitrate-N,0,211.2451171875
y_hat_train,Nitrate-N,0,162.17750549316406
y_hat_train,Nitrate-N,0,175.39193725585938
y_hat_train,Nitrate-N,0,185.66334533691406
y_hat_train,Nitrate-N,0,178.43048095703125
y_hat_train,Nitrate-N,0,195.04107666015625
y_hat_train,Nitrate-N,0,153.23623657226562
y_hat_train,Nitrate-N,0,185.4487762451172
y_hat_train,Nitrate-N,0,216.85858154296875
y_hat_train,Nitrate-N,0,165.2812957763672
y_hat_train,Nitrate-N,0,165.1527557373047
y_hat_train,Nitrate-N,0,151.8887176513672
y_hat_train,Nitrate-N,0,190.53184509277344
y_hat_train,Nitrate-N,0,175.4801788330078
y_hat_train,Nitrate-N,0,188.45648193359375
y_hat_train,Nitrate-N,0,191.29615783691406
y_hat_train,Nitrate-N,0,183.6836700439453
y_hat_train,Nitrate-N,0,164.26954650878906
y_hat_train,Nitrate-N,0,208.7997283935547
y_hat_train,Nitrate-N,0,154.29183959960938
y_hat_train,Nitrate-N,0,169.7117462158203
y_hat_train,Nitrate-N,0,179.54702758789062
y_hat_train,Nitrate-N,0,185.44064331054688
y_hat_train,Nitrate-N,0,188.40536499023438
y_hat_train,Nitrate-N,0,190.75401306152344
y_hat_train,Nitrate-N,0,180.48500061035156
y_hat_train,Nitrate-N,0,164.17189025878906
y_hat_train,Nitrate-N,0,207.5146942138672
y_hat_train,Nitrate-N,0,188.45648193359375
y_hat_train,Nitrate-N,0,183.48187255859375
y_hat_train,Nitrate-N,0,228.88682556152344
y_hat_train,Nitrate-N,0,182.59083557128906
y_hat_train,Nitrate-N,0,217.92596435546875
y_hat_train,Nitrate-N,0,175.40846252441406
y_true_train,Nitrate-N,0,190.75
y_true_train,Nitrate-N,0,220.0
y_true_train,Nitrate-N,0,169.4
y_true_train,Nitrate-N,0,164.28
y_true_train,Nitrate-N,0,186.18
y_true_train,Nitrate-N,0,174.55
y_true_train,Nitrate-N,0,198.9
y_true_train,Nitrate-N,0,149.25
y_true_train,Nitrate-N,0,184.9
y_true_train,Nitrate-N,0,227.5
y_true_train,Nitrate-N,0,175.0
y_true_train,Nitrate-N,0,163.35
y_true_train,Nitrate-N,0,134.3
y_true_train,Nitrate-N,0,188.83
y_true_train,Nitrate-N,0,175.53
y_true_train,Nitrate-N,0,189.35
y_true_train,Nitrate-N,0,200.88
y_true_train,Nitrate-N,0,186.48
y_true_train,Nitrate-N,0,161.15
y_true_train,Nitrate-N,0,210.0
y_true_train,Nitrate-N,0,156.73
y_true_train,Nitrate-N,0,163.23
y_true_train,Nitrate-N,0,179.55
y_true_train,Nitrate-N,0,189.73
y_true_train,Nitrate-N,0,185.8
y_true_train,Nitrate-N,0,198.28
y_true_train,Nitrate-N,0,166.68
y_true_train,Nitrate-N,0,158.13
y_true_train,Nitrate-N,0,212.5
y_true_train,Nitrate-N,0,186.4
y_true_train,Nitrate-N,0,177.95
y_true_train,Nitrate-N,0,232.5
y_true_train,Nitrate-N,0,174.2
y_true_train,Nitrate-N,0,227.5
y_true_train,Nitrate-N,0,175.43
y_true_test,Nitrate-N,0,189.35
y_true_test,Nitrate-N,0,195.28
y_true_test,Nitrate-N,0,215.0
y_true_test,Nitrate-N,0,192.3
y_true_test,Nitrate-N,0,185.0
y_true_test,Nitrate-N,0,159.48
y_true_test,Nitrate-N,0,188.58
y_true_test,Nitrate-N,0,246.45
y_true_test,Nitrate-N,0,179.53
y_true_test,Nitrate-N,0,232.6
y_true_test,Nitrate-N,0,204.43
y_true_test,Nitrate-N,0,183.05
y_true_test,Nitrate-N,0,170.45
y_true_test,Nitrate-N,0,152.3
y_true_test,Nitrate-N,0,284.78
test_ind,Nitrate-N,0,59.0
test_ind,Nitrate-N,0,60.0
test_ind,Nitrate-N,0,26.0
test_ind,Nitrate-N,0,61.0
test_ind,Nitrate-N,0,62.0
test_ind,Nitrate-N,0,18.0
test_ind,Nitrate-N,0,25.0
test_ind,Nitrate-N,0,30.0
test_ind,Nitrate-N,0,42.0
test_ind,Nitrate-N,0,32.0
test_ind,Nitrate-N,0,16.0
test_ind,Nitrate-N,0,55.0
test_ind,Nitrate-N,0,57.0
test_ind,Nitrate-N,0,20.0
test_ind,Nitrate-N,0,28.0
train_ind,Nitrate-N,0,46.0
train_ind,Nitrate-N,0,27.0
train_ind,Nitrate-N,0,1.0
train_ind,Nitrate-N,0,24.0
train_ind,Nitrate-N,0,31.0
train_ind,Nitrate-N,0,33.0
train_ind,Nitrate-N,0,15.0
train_ind,Nitrate-N,0,5.0
train_ind,Nitrate-N,0,35.0
train_ind,Nitrate-N,0,52.0
train_ind,Nitrate-N,0,14.0
train_ind,Nitrate-N,0,56.0
