output,species,iteration,value
y_hat_test,Ammonium-N,0,4.143319606781006
y_hat_test,Ammonium-N,0,1.7093009948730469
y_hat_test,Ammonium-N,0,0.379774272441864
y_hat_test,Ammonium-N,0,3.9547576904296875
y_hat_test,Ammonium-N,0,1.1690073013305664
y_hat_test,Ammonium-N,0,1.3570842742919922
y_hat_test,Ammonium-N,0,6.267559051513672
y_hat_test,Ammonium-N,0,1.3729597330093384
y_hat_test,Ammonium-N,0,3.3730833530426025
y_hat_test,Ammonium-N,0,4.71541690826416
y_hat_test,Ammonium-N,0,0.036176517605781555
y_hat_test,Ammonium-N,0,3.553658962249756
y_hat_test,Ammonium-N,0,0.33086779713630676
y_hat_test,Ammonium-N,0,5.697259426116943
y_hat_test,Ammonium-N,0,0.5440008044242859
y_hat_train,Ammonium-N,0,0.3459548354148865
y_hat_train,Ammonium-N,0,7.147663116455078
y_hat_train,Ammonium-N,0,5.9448723793029785
y_hat_train,Ammonium-N,0,0.23391315340995789
y_hat_train,Ammonium-N,0,0.07956977188587189
y_hat_train,Ammonium-N,0,8.152100563049316
y_hat_train,Ammonium-N,0,0.35390180349349976
y_hat_train,Ammonium-N,0,1.080919623374939
y_hat_train,Ammonium-N,0,0.1444530189037323
y_hat_train,Ammonium-N,0,0.08589687943458557
y_hat_train,Ammonium-N,0,0.1843903809785843
y_hat_train,Ammonium-N,0,6.552274227142334
y_hat_train,Ammonium-N,0,1.554075837135315
y_hat_train,Ammonium-N,0,8.476053237915039
y_hat_train,Ammonium-N,0,6.297689437866211
y_hat_train,Ammonium-N,0,5.066854953765869
y_hat_train,Ammonium-N,0,0.40000319480895996
y_hat_train,Ammonium-N,0,5.74067497253418
y_hat_train,Ammonium-N,0,7.9402174949646
y_hat_train,Ammonium-N,0,0.21460598707199097
y_hat_train,Ammonium-N,0,6.105587482452393
y_hat_train,Ammonium-N,0,0.19262206554412842
y_hat_train,Ammonium-N,0,0.1695636659860611
y_hat_train,Ammonium-N,0,6.6144914627075195
y_hat_train,Ammonium-N,0,1.295640468597412
y_hat_train,Ammonium-N,0,0.1110464483499527
y_hat_train,Ammonium-N,0,0.15044672787189484
y_hat_train,Ammonium-N,0,0.08041566610336304
y_true_train,Ammonium-N,0,0.07
y_true_train,Ammonium-N,0,7.24
y_true_train,Ammonium-N,0,5.86
y_true_train,Ammonium-N,0,0.15
y_true_train,Ammonium-N,0,0.01
y_true_train,Ammonium-N,0,8.22
y_true_train,Ammonium-N,0,0.3
y_true_train,Ammonium-N,0,1.14
y_true_train,Ammonium-N,0,0.1
y_true_train,Ammonium-N,0,0.02
y_true_train,Ammonium-N,0,0.01
y_true_train,Ammonium-N,0,6.51
y_true_train,Ammonium-N,0,1.43
y_true_train,Ammonium-N,0,8.48
y_true_train,Ammonium-N,0,6.23
y_true_train,Ammonium-N,0,4.9
y_true_train,Ammonium-N,0,0.4
y_true_train,Ammonium-N,0,5.6
y_true_train,Ammonium-N,0,7.88
y_true_train,Ammonium-N,0,0.05
y_true_train,Ammonium-N,0,5.98
y_true_train,Ammonium-N,0,0.04
y_true_train,Ammonium-N,0,0.01
y_true_train,Ammonium-N,0,6.6
y_true_train,Ammonium-N,0,1.2
y_true_train,Ammonium-N,0,0.04
y_true_train,Ammonium-N,0,0.05
y_true_train,Ammonium-N,0,0.01
y_true_test,Ammonium-N,0,0.09
y_true_test,Ammonium-N,0,4.03
y_true_test,Ammonium-N,0,0.01
y_true_test,Ammonium-N,0,0.02
y_true_test,Ammonium-N,0,0.03
y_true_test,Ammonium-N,0,6.92
y_true_test,Ammonium-N,0,0.1
y_true_test,Ammonium-N,0,0.02
y_true_test,Ammonium-N,0,0.01
y_true_test,Ammonium-N,0,0.01
y_true_test,Ammonium-N,0,0.01
y_true_test,Ammonium-N,0,0.08
y_true_test,Ammonium-N,0,0.06
y_true_test,Ammonium-N,0,0.07
y_true_test,Ammonium-N,0,7.81
test_ind,Ammonium-N,0,30.0
test_ind,Ammonium-N,0,10.0
test_ind,Ammonium-N,0,4.0
test_ind,Ammonium-N,0,12.0
test_ind,Ammonium-N,0,41.0
test_ind,Ammonium-N,0,5.0
test_ind,Ammonium-N,0,45.0
test_ind,Ammonium-N,0,20.0
test_ind,Ammonium-N,0,51.0
test_ind,Ammonium-N,0,11.0
test_ind,Ammonium-N,0,8.0
test_ind,Ammonium-N,0,25.0
test_ind,Ammonium-N,0,15.0
test_ind,Ammonium-N,0,13.0
test_ind,Ammonium-N,0,14.0
train_ind,Ammonium-N,0,23.0
train_ind,Ammonium-N,0,24.0
train_ind,Ammonium-N,0,31.0
train_ind,Ammonium-N,0,17.0
train_ind,Ammonium-N,0,6.0
train_ind,Ammonium-N,0,35.0
train_ind,Ammonium-N,0,46.0
train_ind,Ammonium-N,0,36.0
train_ind,Ammonium-N,0,37.0
train_ind,Ammonium-N,0,50.0
train_ind,Ammonium-N,0,40.0
train_ind,Ammonium-N,0,1.0
train_ind,Ammonium-N,0,26.0
train_ind,Ammonium-N,0,27.0
train_ind,Ammonium-N,0,18.0
train_ind,Ammonium-N,0,32.0
train_ind,Ammonium-N,0,22.0
train_ind,Ammonium-N,0,48.0
train_ind,Ammonium-N,0,33.0
train_ind,Ammonium-N,0,16.0
train_ind,Ammonium-N,0,9.0
train_ind,Ammonium-N,0,42.0
train_ind,Ammonium-N,0,34.0
train_ind,Ammonium-N,0,43.0
train_ind,Ammonium-N,0,49.0
train_ind,Ammonium-N,0,21.0
train_ind,Ammonium-N,0,19.0
train_ind,Ammonium-N,0,56.0
test_rsq,Ammonium-N,0,-1.3863753490856614
train_rsq,Ammonium-N,0,0.9988043148936065
test_rmse,Ammonium-N,0,3.9966584420619156
train_rmse,Ammonium-N,0,0.11109971591850172
y_hat_test,Phosphorus,0,33.10102081298828
y_hat_test,Phosphorus,0,36.82962417602539
y_hat_test,Phosphorus,0,30.8220157623291
y_hat_test,Phosphorus,0,36.80865478515625
y_hat_test,Phosphorus,0,36.17475509643555
y_hat_test,Phosphorus,0,32.468955993652344
y_hat_test,Phosphorus,0,45.19025421142578
y_hat_test,Phosphorus,0,28.36029624938965
y_hat_test,Phosphorus,0,37.3876953125
