output,species,iteration,value
y_hat_test,Sulfate,0,194.10429999999994
y_hat_test,Sulfate,0,174.86010000000002
y_hat_test,Sulfate,0,178.49649999999994
y_hat_test,Sulfate,0,190.44629999999998
y_hat_test,Sulfate,0,194.96089999999992
y_hat_test,Sulfate,0,188.4028999999999
y_hat_test,Sulfate,0,195.18920000000003
y_hat_test,Sulfate,0,191.74609999999993
y_hat_test,Sulfate,0,193.26909999999995
y_hat_test,Sulfate,0,181.17749999999992
y_hat_test,Sulfate,0,184.23379999999997
y_hat_test,Sulfate,0,180.01119999999992
y_hat_test,Sulfate,0,184.18411
y_hat_test,Sulfate,0,180.77539999999996
y_hat_test,Sulfate,0,185.58060999999995
y_hat_train,Sulfate,0,174.62801999999996
y_hat_train,Sulfate,0,187.3580000000001
y_hat_train,Sulfate,0,181.93549999999988
y_hat_train,Sulfate,0,198.0337999999999
y_hat_train,Sulfate,0,186.52829999999992
y_hat_train,Sulfate,0,236.4023999999996
y_hat_train,Sulfate,0,182.13140000000013
y_hat_train,Sulfate,0,177.60536000000005
y_hat_train,Sulfate,0,197.79640000000003
y_hat_train,Sulfate,0,178.03689999999995
y_hat_train,Sulfate,0,202.0749999999997
y_hat_train,Sulfate,0,172.10810000000015
y_hat_train,Sulfate,0,176.77680000000012
y_hat_train,Sulfate,0,221.4208000000001
y_hat_train,Sulfate,0,173.29331999999988
y_hat_train,Sulfate,0,154.57310000000012
y_hat_train,Sulfate,0,156.11299999999991
y_hat_train,Sulfate,0,155.93899999999994
y_hat_train,Sulfate,0,170.4202
y_hat_train,Sulfate,0,195.64079999999987
y_hat_train,Sulfate,0,213.8609500000002
y_hat_train,Sulfate,0,237.0031
y_hat_train,Sulfate,0,214.3332
y_hat_train,Sulfate,0,173.83990000000006
y_hat_train,Sulfate,0,163.73409999999998
y_hat_train,Sulfate,0,170.11829999999998
y_hat_train,Sulfate,0,168.89639999999986
y_hat_train,Sulfate,0,168.47029999999992
y_hat_train,Sulfate,0,210.23419999999984
y_hat_train,Sulfate,0,202.2085999999999
y_hat_train,Sulfate,0,181.84059999999994
y_hat_train,Sulfate,0,170.86000000000016
y_hat_train,Sulfate,0,170.37299999999976
y_hat_train,Sulfate,0,220.41049999999967
y_hat_train,Sulfate,0,208.68829999999983
y_true_train,Sulfate,0,169.24
y_true_train,Sulfate,0,181.74
y_true_train,Sulfate,0,179.97
y_true_train,Sulfate,0,202.44
y_true_train,Sulfate,0,182.57
y_true_train,Sulfate,0,255.92
y_true_train,Sulfate,0,184.43
y_true_train,Sulfate,0,177.03
y_true_train,Sulfate,0,201.03
y_true_train,Sulfate,0,172.41
y_true_train,Sulfate,0,209.96
y_true_train,Sulfate,0,171.43
y_true_train,Sulfate,0,164.53
y_true_train,Sulfate,0,237.4
y_true_train,Sulfate,0,169.3
y_true_train,Sulfate,0,134.94
y_true_train,Sulfate,0,139.31
y_true_train,Sulfate,0,149.14
y_true_train,Sulfate,0,158.25
y_true_train,Sulfate,0,199.26
y_true_train,Sulfate,0,225.27
y_true_train,Sulfate,0,257.75
y_true_train,Sulfate,0,225.9
y_true_train,Sulfate,0,171.01
y_true_train,Sulfate,0,138.83
y_true_train,Sulfate,0,157.5
y_true_train,Sulfate,0,160.47
y_true_train,Sulfate,0,161.24
y_true_train,Sulfate,0,219.07
y_true_train,Sulfate,0,206.6
y_true_train,Sulfate,0,174.1
y_true_train,Sulfate,0,164.78
y_true_train,Sulfate,0,169.48
y_true_train,Sulfate,0,238.21
y_true_train,Sulfate,0,220.32
y_true_test,Sulfate,0,237.64
y_true_test,Sulfate,0,191.44
y_true_test,Sulfate,0,109.35
y_true_test,Sulfate,0,198.96
y_true_test,Sulfate,0,215.7
y_true_test,Sulfate,0,127.21
y_true_test,Sulfate,0,247.13
y_true_test,Sulfate,0,181.5
y_true_test,Sulfate,0,186.47
y_true_test,Sulfate,0,180.48
y_true_test,Sulfate,0,150.4
y_true_test,Sulfate,0,231.92
y_true_test,Sulfate,0,180.99
y_true_test,Sulfate,0,177.93
y_true_test,Sulfate,0,155.31
test_ind,Sulfate,0,30.0
test_ind,Sulfate,0,10.0
test_ind,Sulfate,0,4.0
test_ind,Sulfate,0,12.0
test_ind,Sulfate,0,41.0
test_ind,Sulfate,0,5.0
test_ind,Sulfate,0,45.0
test_ind,Sulfate,0,20.0
test_ind,Sulfate,0,51.0
test_ind,Sulfate,0,11.0
test_ind,Sulfate,0,8.0
test_ind,Sulfate,0,25.0
test_ind,Sulfate,0,15.0
test_ind,Sulfate,0,13.0
test_ind,Sulfate,0,14.0
train_ind,Sulfate,0,56.0
train_ind,Sulfate,0,32.0
train_ind,Sulfate,0,23.0
train_ind,Sulfate,0,19.0
train_ind,Sulfate,0,16.0
train_ind,Sulfate,0,40.0
train_ind,Sulfate,0,48.0
train_ind,Sulfate,0,49.0
train_ind,Sulfate,0,37.0
train_ind,Sulfate,0,43.0
train_ind,Sulfate,0,28.0
train_ind,Sulfate,0,24.0
train_ind,Sulfate,0,22.0
train_ind,Sulfate,0,50.0
train_ind,Sulfate,0,26.0
train_ind,Sulfate,0,2.0
train_ind,Sulfate,0,7.0
train_ind,Sulfate,0,1.0
train_ind,Sulfate,0,9.0
train_ind,Sulfate,0,34.0
train_ind,Sulfate,0,29.0
train_ind,Sulfate,0,42.0
train_ind,Sulfate,0,54.0
train_ind,Sulfate,0,33.0
train_ind,Sulfate,0,18.0
train_ind,Sulfate,0,17.0
train_ind,Sulfate,0,46.0
train_ind,Sulfate,0,31.0
train_ind,Sulfate,0,55.0
train_ind,Sulfate,0,38.0
train_ind,Sulfate,0,36.0
train_ind,Sulfate,0,27.0
train_ind,Sulfate,0,35.0
train_ind,Sulfate,0,21.0
train_ind,Sulfate,0,6.0
test_rsq,Sulfate,0,0.11438823047817503
train_rsq,Sulfate,0,0.8860950204123579
test_rmse,Sulfate,0,35.4232076790289
train_rmse,Sulfate,0,10.875420059585128
test_mape,Sulfate,0,16.709366973414934
train_mape,Sulfate,0,4.8654341492386495
max_features,Sulfate,0,0.17090958513604515
ccp_alpha,Sulfate,0,0.0006531400357979377
n_comp,Sulfate,0,28.0
y_hat_test,Sulfate,1,187.3191400000001
y_hat_test,Sulfate,1,185.61834000000002
y_hat_test,Sulfate,1,175.67820000000003
y_hat_test,Sulfate,1,205.5473
y_hat_test,Sulfate,1,183.95110000000005
y_hat_test,Sulfate,1,179.15670000000003
y_hat_test,Sulfate,1,162.90180000000012
y_hat_test,Sulfate,1,182.08184
y_hat_test,Sulfate,1,175.92070000000004
y_hat_test,Sulfate,1,173.96160000000015
y_hat_test,Sulfate,1,194.55444000000003
y_hat_test,Sulfate,1,172.63860000000005
y_hat_test,Sulfate,1,186.9003000000001
y_hat_test,Sulfate,1,185.04023999999993
y_hat_test,Sulfate,1,200.51959999999988
y_hat_train,Sulfate,1,210.19909999999982
y_hat_train,Sulfate,1,176.4199
y_hat_train,Sulfate,1,180.43890000000007
y_hat_train,Sulfate,1,175.25289999999993
y_hat_train,Sulfate,1,192.67987000000008
y_hat_train,Sulfate,1,185.05837
y_hat_train,Sulfate,1,228.71129999999997
y_hat_train,Sulfate,1,210.50794000000002
y_hat_train,Sulfate,1,224.18939999999978
y_hat_train,Sulfate,1,171.36070000000018
y_hat_train,Sulfate,1,201.73173999999995
y_hat_train,Sulfate,1,136.45640000000014
y_hat_train,Sulfate,1,181.52970000000002
y_hat_train,Sulfate,1,184.67980000000028
y_hat_train,Sulfate,1,208.61499999999975
y_hat_train,Sulfate,1,178.00209999999998
y_hat_train,Sulfate,1,162.49749999999992
y_hat_train,Sulfate,1,170.12599999999995
y_hat_train,Sulfate,1,168.41830000000024
y_hat_train,Sulfate,1,171.18770000000018
y_hat_train,Sulfate,1,181.6939000000001
y_hat_train,Sulfate,1,239.77679999999967
y_hat_train,Sulfate,1,196.42019999999997
y_hat_train,Sulfate,1,181.97609999999986
y_hat_train,Sulfate,1,147.68880000000013
y_hat_train,Sulfate,1,184.4586000000001
y_hat_train,Sulfate,1,199.3634400000003
y_hat_train,Sulfate,1,184.60484000000005
y_hat_train,Sulfate,1,174.12870000000007
y_hat_train,Sulfate,1,129.30730000000017
y_hat_train,Sulfate,1,218.7173000000001
y_hat_train,Sulfate,1,220.7531999999996
y_hat_train,Sulfate,1,176.19059999999993
y_hat_train,Sulfate,1,206.42054999999985
y_hat_train,Sulfate,1,189.5127999999999
y_true_train,Sulfate,1,231.92
y_true_train,Sulfate,1,180.99
y_true_train,Sulfate,1,164.53
y_true_train,Sulfate,1,173.56
y_true_train,Sulfate,1,181.44
y_true_train,Sulfate,1,181.5
y_true_train,Sulfate,1,257.75
y_true_train,Sulfate,1,225.9
y_true_train,Sulfate,1,237.64
y_true_train,Sulfate,1,171.43
y_true_train,Sulfate,1,206.6
y_true_train,Sulfate,1,109.35
y_true_train,Sulfate,1,174.1
y_true_train,Sulfate,1,183.77
y_true_train,Sulfate,1,219.07
